station,time,train,platform,route,delayedTime,information,timestampScraping
Heidelberg,15:48,Bus 34,"Hauptbahnhof, Heidelberg","Hauptbahnhof, Heidelberg 15:48 - Stadtwerke, Heidelberg 15:50 - Campus Bergheim, Heidelberg 15:52 - Altes Hallenbad, Heidelberg 15:53",,,2021-12-24 14:48:01.548386
Heidelberg,15:48,RNV 5,"Hauptbahnhof, Heidelberg","Hauptbahnhof, Heidelberg 15:48 - Stadtwerke, Heidelberg 15:49",,,2021-12-24 14:48:01.549730
Heidelberg,15:48,RNV 5,"Hauptbahnhof, Heidelberg","Hauptbahnhof, Heidelberg 15:48 - Stadtwerke, Heidelberg 15:49 - Stadtbücherei, Heidelberg 15:51 - Seegarten, Heidelberg 15:52 - Bismarckplatz, Heidelberg 15:54 - Neuenheim Brückenstraße, Heidelberg 15:58 - Neuenheim Kußmaulstraße, Heidelberg 15:59 - Neuenheim Blumenthalstraße, Heidelberg 16:00 - Handschuhsheim Kapellenweg, Heidelberg 16:01 - Handschuhsheim Hans-Thoma-Platz, Heidelberg 16:03 - Handschuhsheim Biethsstraße, Heidelberg 16:05 - Handschuhsheim Burgstraße, Heidelberg 16:06 - Dossenheim Süd 16:08 - Bahnhof, Dossenheim 16:09 - Dossenheim Nord 16:11 - Schriesheim Süd 16:13 - Bahnhof, Schriesheim 16:14 - Zentgrafenstraße, Schriesheim 16:21 - Leutershausen Bahnhof, Hirschberg an der Bergstraß 16:24 - Großsachsen Süd, Hirschberg an der Bergstraße 16:26 - Großsachsen Bahnhof, Hirschberg an der Bergstraße 16:28 - Hohensachsen, Weinheim 16:30 - Lützelsachsen Bergstraße, Weinheim 16:31 - Lützelsachsen Pilgerhaus, Weinheim 16:32 - Rosenbrunnen, Weinheim 16:33 - Alter OEG-Bahnhof, Weinheim 16:35",15:48,,2021-12-24 14:48:01.551112
station,time,train,platform,route,delayedTime,information,timestampScraping
Mannheim,13:54,IC 2013,4,Mannheim Hbf 13:54 - Heidelberg Hbf (Halt entfällt) 14:04 - Stuttgart Hbf 14:46 - Plochingen 15:12 - Göppingen 15:26 - Ulm Hbf 16:14 - Memmingen 16:44 - Kempten(Allgäu)Hbf 17:08 - Immenstadt 17:25 - Sonthofen 17:51 - Fischen 18:00 - Oberstdorf 18:11,15:09,Änderung im Fahrtverlauf!,2021-12-24 14:48:04.168110
Mannheim,14:36,ICE 518,3,Mannheim Hbf 14:36 - Frankfurt(M) Flughafen Fernbf 15:06 - Köln Hbf 16:05 - Düsseldorf Hbf 16:32 - Duisburg Hbf 16:46 - Essen Hbf 16:59 - Bochum Hbf 17:09 - Dortmund Hbf 17:22 - Münster(Westf)Hbf 17:55 - Osnabrück Hbf 18:21 - Bremen Hbf 19:15 - Hamburg-Harburg 20:01 - Hamburg Hbf 20:14 - Hamburg Dammtor 20:20 - Hamburg-Altona 20:29,14:56,Grund: Polizeieinsatz,2021-12-24 14:48:04.170669
Mannheim,14:46,ICE 2879,8,Mannheim Hbf 14:46 - Karlsruhe Hbf 15:09 - Baden-Baden 15:26 - Freiburg(Breisgau) Hbf 16:11 - Basel Bad Bf 16:46 - Basel SBB 16:55 - Zürich HB 18:00 - Sargans 19:03 - Landquart 19:12 - Chur 19:23,14:54,Ersatzfahrt für,2021-12-24 14:48:04.173034
Mannheim,14:48,STR 3,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 14:48 - Kunsthalle, Mannheim 14:50",14:48,,2021-12-24 14:48:04.178486
Mannheim,14:48,RNV 5A,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 14:48 - Universität, Mannheim 14:50 - Schloss, Mannheim 14:51 - Paradeplatz, Mannheim 14:53 - Marktplatz, Mannheim 14:55 - Abendakademie, Mannheim 14:57",,,2021-12-24 14:48:04.180580
Mannheim,14:48,RNV 5,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 14:48 - Universität, Mannheim 14:50",14:48,Änderung im Fahrtverlauf!,2021-12-24 14:48:04.182672
